	Season	Lg	Tm	Voting	C	F1	F2	G1	G2
45	2011-12	NBA	2nd	 (V)	Andrew Bynum C	Blake Griffin F	Kevin Love F	Tony Parker G	Russell Westbrook G
46	2011-12	NBA	3rd	 (V)	Tyson Chandler C	Carmelo Anthony F	Dirk Nowitzki F	Rajon Rondo G	Dwyane Wade G
47									
48	2010-11	NBA	1st	 (V)	Dwight Howard C	Kevin Durant F	LeBron James F	Kobe Bryant G	Derrick Rose G
49	2010-11	NBA	2nd	 (V)	Amar'e Stoudemire C	Pau Gasol F	Dirk Nowitzki F	Dwyane Wade G	Russell Westbrook G
50	2010-11	NBA	3rd	 (V)	Al Horford C	LaMarcus Aldridge F	Zach Randolph F	Manu Ginóbili G	Chris Paul G
51									
52	2009-10	NBA	1st	 (V)	Dwight Howard C	Kevin Durant F	LeBron James F	Kobe Bryant G	Dwyane Wade G
53	2009-10	NBA	2nd	 (V)	Amar'e Stoudemire C	Carmelo Anthony F	Dirk Nowitzki F	Steve Nash G	Deron Williams G
54	2009-10	NBA	3rd	 (V)	Andrew Bogut C	Tim Duncan F	Pau Gasol F	Joe Johnson G	Brandon Roy G
55									
56	2008-09	NBA	1st	 (V)	Dwight Howard C	LeBron James F	Dirk Nowitzki F	Kobe Bryant G	Dwyane Wade G
57	2008-09	NBA	2nd	 (V)	Yao Ming C	Tim Duncan F	Paul Pierce F	Chris Paul G	Brandon Roy G
58	2008-09	NBA	3rd	 (V)	Shaquille O'Neal C	Carmelo Anthony F	Pau Gasol F	Chauncey Billups G	Tony Parker G
59									
60	2007-08	NBA	1st	 (V)	Dwight Howard C	Kevin Garnett F	LeBron James F	Kobe Bryant G	Chris Paul G
61	2007-08	NBA	2nd	 (V)	Amar'e Stoudemire C	Tim Duncan F	Dirk Nowitzki F	Steve Nash G	Deron Williams G
62	2007-08	NBA	3rd	 (V)	Yao Ming C	Carlos Boozer F	Paul Pierce F	Manu Ginóbili G	Tracy McGrady G
63									
64	2006-07	NBA	1st	 (V)	Amar'e Stoudemire C	Tim Duncan F	Dirk Nowitzki F	Kobe Bryant G	Steve Nash G
65	2006-07	NBA	2nd	 (V)	Yao Ming C	Chris Bosh F	LeBron James F	Gilbert Arenas G	Tracy McGrady G
66	2006-07	NBA	3rd	 (V)	Dwight Howard C	Carmelo Anthony F	Kevin Garnett F	Chauncey Billups G	Dwyane Wade G
67									
68	2005-06	NBA	1st	 (V)	Shaquille O'Neal C	LeBron James F	Dirk Nowitzki F	Kobe Bryant G	Steve Nash G
69	2005-06	NBA	2nd	 (V)	Ben Wallace C	Elton Brand F	Tim Duncan F	Chauncey Billups G	Dwyane Wade G
70	2005-06	NBA	3rd	 (V)	Yao Ming C	Carmelo Anthony F	Shawn Marion F	Gilbert Arenas G	Allen Iverson G
71									
72	2004-05	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Dirk Nowitzki F	Allen Iverson G	Steve Nash G
73	2004-05	NBA	2nd	 (V)	Amar'e Stoudemire C	Kevin Garnett F	LeBron James F	Ray Allen G	Dwyane Wade G
74	2004-05	NBA	3rd	 (V)	Ben Wallace C	Shawn Marion F	Tracy McGrady F	Gilbert Arenas G	Kobe Bryant G
75									
76	2003-04	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Kevin Garnett F	Kobe Bryant G	Jason Kidd G
77	2003-04	NBA	2nd	 (V)	Ben Wallace C	Jermaine O'Neal F	Peja Stojaković F	Sam Cassell G	Tracy McGrady G
78	2003-04	NBA	3rd	 (V)	Yao Ming C	Metta World Peace F	Dirk Nowitzki F	Baron Davis G	Michael Redd G
79									
80	2002-03	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Kevin Garnett F	Kobe Bryant G	Tracy McGrady G
81	2002-03	NBA	2nd	 (V)	Ben Wallace C	Dirk Nowitzki F	Chris Webber F	Allen Iverson G	Jason Kidd G
82	2002-03	NBA	3rd	 (V)	Jermaine O'Neal C	Jamal Mashburn F	Paul Pierce F	Stephon Marbury G	Steve Nash G
83									
84	2001-02	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Tracy McGrady F	Kobe Bryant G	Jason Kidd G
85	2001-02	NBA	2nd	 (V)	Dirk Nowitzki C	Kevin Garnett F	Chris Webber F	Allen Iverson G	Gary Payton G
86	2001-02	NBA	3rd	 (V)	Dikembe Mutombo C	Jermaine O'Neal F	Ben Wallace F	Steve Nash G	Paul Pierce G
87									
88	2000-01	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Chris Webber F	Allen Iverson G	Jason Kidd G
89	2000-01	NBA	2nd	 (V)	Dikembe Mutombo C	Vince Carter F	Kevin Garnett F	Kobe Bryant G	Tracy McGrady G
90	2000-01	NBA	3rd	 (V)	David Robinson C	Karl Malone F	Dirk Nowitzki F	Ray Allen G	Gary Payton G
91									
92	1999-00	NBA	1st	 (V)	Shaquille O'Neal C	Tim Duncan F	Kevin Garnett F	Jason Kidd G	Gary Payton G
93	1999-00	NBA	2nd	 (V)	Alonzo Mourning C	Grant Hill F	Karl Malone F	Kobe Bryant G	Allen Iverson G
94	1999-00	NBA	3rd	 (V)	David Robinson C	Vince Carter F	Chris Webber F	Eddie Jones G	Stephon Marbury G
95									
96	1998-99	NBA	1st	 (V)	Alonzo Mourning C	Tim Duncan F	Karl Malone F	Allen Iverson G	Jason Kidd G
97	1998-99	NBA	2nd	 (V)	Shaquille O'Neal C	Grant Hill F	Chris Webber F	Tim Hardaway G	Gary Payton G
98	1998-99	NBA	3rd	 (V)	Hakeem Olajuwon C	Kevin Garnett F	Antonio McDyess F	Kobe Bryant G	John Stockton G
99									
